Polarity (XLogP3), Viscosity (cP), Boiling Point (K), Surface Tension (mN/m), Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
3.9,0.377,342.039,17.89,-0.067682274,1.448418803,0.681087181,0.583684931
3.9,0.377,342.039,17.89,4.677704177,1.424289767,6.044950454,0.561122144
3.9,0.377,342.039,17.89,0.738161767,1.487319057,1.682118986,0.587820929
3.9,0.377,342.039,17.89,0.700507154,1.619405724,1.52023975,0.39992117
3.9,0.377,342.039,17.89,5.195345468,1.421986768,6.67643191,0.569667623
3.9,0.377,342.039,17.89,7.024445291,1.496934419,9.876339358,0.532089771
3.9,0.377,342.039,17.89,1.295455814,1.469036919,2.391861267,0.623278792
3.9,0.377,342.039,17.89,0.372958171,1.454073528,1.260080524,0.601657998
3.9,0.377,342.039,17.89,0.185067199,1.629511464,0.90016149,0.341066676
3.9,0.377,342.039,17.89,-0.047854164,1.476803084,0.568619139,0.450652473
3.9,0.377,342.039,17.89,0.301978221,1.433311247,1.133831194,0.532658182
3.9,0.377,342.039,17.89,1.280399591,1.531508412,2.405008883,0.453568164
3.9,0.377,342.039,17.89,0.547195134,1.620940747,1.309738931,0.333823371
3.9,0.377,342.039,17.89,2.82575826,1.456126514,4.020884594,0.578630167
3.9,0.377,342.039,17.89,0.288961559,1.480095232,0.908368833,0.443615811
3.9,0.377,342.039,17.89,0.214663433,1.431541836,1.042142328,0.540298364
3.9,0.377,342.039,17.89,0.255977699,1.636945573,0.933482042,0.333528056
3.9,0.377,342.039,17.89,0.141758091,1.441484469,0.968423224,0.609142177
3.9,0.377,342.039,17.89,1.182317696,1.521090244,2.317798286,0.468550292
3.9,0.377,342.039,17.89,0.216345431,1.452233722,0.967971444,0.650774876
3.9,0.377,342.039,17.89,7.128883269,1.499206783,9.956062496,0.514495746
3.9,0.377,342.039,17.89,0.338855531,1.452542118,1.226942631,0.632986789
3.9,0.377,342.039,17.89,0.399437877,1.623524167,1.103524876,0.417400755
3.9,0.377,342.039,17.89,-0.275921623,1.620026074,0.35167403,0.384252263
3.9,0.377,342.039,17.89,0.970351528,1.485197771,1.976659877,0.597032947
3.9,0.377,342.039,17.89,-0.055546134,1.434997036,0.649779973,0.549604992
3.9,0.377,342.039,17.89,1.541363498,1.502479299,2.71605174,0.465845583
3.9,0.377,342.039,17.89,-0.024127836,1.630625214,0.594710412,0.380872703
3.9,0.377,342.039,17.89,0.308380142,1.456486746,1.146306393,0.607052034
3.9,0.377,342.039,17.89,-0.009296473,1.629025324,0.687159364,0.367142712
3.9,0.377,342.039,17.89,9.867215022,1.479651775,12.98286628,0.517672294
3.9,0.377,342.039,17.89,-0.118164542,1.617745671,0.476969577,0.355297896
3.9,0.377,342.039,17.89,1.387281163,1.507920205,2.543787497,0.455477835
3.9,0.377,342.039,17.89,5.289098356,1.437812253,6.804542654,0.544362694
3.9,0.377,342.039,17.89,0.825650532,1.484391103,1.691344173,0.496511145
3.9,0.377,342.039,17.89,0.124397074,1.616765683,0.857099621,0.385118608
3.9,0.377,342.039,17.89,0.220613976,1.455460548,1.030925172,0.598930529
3.9,0.377,342.039,17.89,-0.349930875,1.449117231,0.24871831,0.675250678
3.9,0.377,342.039,17.89,0.81188477,1.503947226,1.758016077,0.552635371
3.9,0.377,342.039,17.89,0.206004306,1.62489344,0.87759647,0.341671385
3.9,0.377,342.039,17.89,2.368813374,1.448047503,3.490400603,0.592957416
3.9,0.377,342.039,17.89,10.36855488,1.48761341,13.64406583,0.49758326
3.9,0.377,342.039,17.89,10.00043317,1.485185106,13.22068714,0.510396999
3.9,0.377,342.039,17.89,0.117544527,1.465692494,0.738839928,0.453082603
3.9,0.377,342.039,17.89,0.245179545,1.466507027,1.065515172,0.580838825
3.9,0.377,342.039,17.89,3.106594235,1.437372259,4.357301924,0.567803361
3.9,0.377,342.039,17.89,2.067113664,1.485460384,3.587898106,0.532131074
3.9,0.377,342.039,17.89,-0.168689743,1.45986472,0.567182937,0.589988609
3.9,0.377,342.039,17.89,10.22738364,1.489062091,13.47709529,0.502752295
3.9,0.377,342.039,17.89,0.10211997,1.44334547,0.929469379,0.53999595
3.9,0.377,342.039,17.89,0.495007747,1.480824898,1.298931105,0.498797022
3.9,0.377,342.039,17.89,0.143109836,1.637177429,0.84260789,0.327399795
3.9,0.377,342.039,17.89,0.002571223,1.622182695,0.639041744,0.342545383
3.9,0.377,342.039,17.89,2.130983839,1.435685559,3.152151804,0.606057728
3.9,0.377,342.039,17.89,0.273167057,1.623991494,0.995253565,0.414393881
3.9,0.377,342.039,17.89,0.768352982,1.493638023,1.617198846,0.484004435
3.9,0.377,342.039,17.89,4.833011934,1.440603788,6.200147613,0.554250161
3.9,0.377,342.039,17.89,0.533186234,1.621052801,1.306088875,0.33847867
3.9,0.377,342.039,17.89,1.058509181,1.476288871,2.072420786,0.594384192
3.9,0.377,342.039,17.89,1.106407352,1.469546904,2.153864227,0.611676905
3.9,0.377,342.039,17.89,1.841352215,1.489963474,3.296422928,0.53234605
3.9,0.377,342.039,17.89,-0.073003921,1.437817614,0.665462927,0.615552165
3.9,0.377,342.039,17.89,10.20348317,1.484462475,13.44847977,0.509410315
3.9,0.377,342.039,17.89,0.137675986,1.440141679,0.839764161,0.661953146
3.9,0.377,342.039,17.89,6.387518268,1.510277261,9.059579494,0.518181668
3.9,0.377,342.039,17.89,0.123523497,1.469873484,0.749020838,0.446211007
3.9,0.377,342.039,17.89,-0.077625034,1.434031014,0.684384947,0.556874721
3.9,0.377,342.039,17.89,0.023504398,1.506804319,0.552038147,0.452954918
3.9,0.377,342.039,17.89,-0.138793531,1.632052701,0.508935434,0.360246201
3.9,0.377,342.039,17.89,1.081626902,1.492548579,2.147308851,0.584236815
3.9,0.377,342.039,17.89,-0.004365775,1.617845093,0.71778534,0.377556847
3.9,0.377,342.039,17.89,0.26724993,1.448426904,1.107728217,0.589846508
3.9,0.377,342.039,17.89,0.101354445,1.449581831,0.838529356,0.669828626
3.9,0.377,342.039,17.89,0.072642665,1.458602071,0.839128659,0.573305941
3.9,0.377,342.039,17.89,2.552231489,1.436468691,3.705547886,0.608848385
3.9,0.377,342.039,17.89,0.382145618,1.440703294,1.168911875,0.659350339
3.9,0.377,342.039,17.89,2.297334587,1.434382193,3.299174828,0.576401246
3.9,0.377,342.039,17.89,1.13358362,1.560224364,2.261679988,0.475638176
3.9,0.377,342.039,17.89,0.804638752,1.468159856,1.68966391,0.520615944
3.9,0.377,342.039,17.89,2.245194053,1.490164217,3.788102918,0.535607847
3.9,0.377,342.039,17.89,2.833617964,1.415997494,4.06906113,0.579280074
3.9,0.377,342.039,17.89,1.252800004,1.476926809,2.297734215,0.571472372
3.9,0.377,342.039,17.89,0.54780122,1.454914509,1.332867258,0.543449602
3.9,0.377,342.039,17.89,7.455217508,1.509750812,10.36755947,0.506310444
3.9,0.377,342.039,17.89,-0.336845356,1.451237309,0.177342313,0.470101457
3.9,0.377,342.039,17.89,4.725792167,1.436958446,6.06893695,0.554874797
3.9,0.377,342.039,17.89,2.236970857,1.424392498,3.316539627,0.565562033
3.9,0.377,342.039,17.89,0.131727074,1.439658909,0.833599988,0.66975639
3.9,0.377,342.039,17.89,-0.036649685,1.435063543,0.716413172,0.55039864
3.9,0.377,342.039,17.89,-0.191030858,1.443196196,0.530370609,0.613786349
3.9,0.377,342.039,17.89,0.303342198,1.614934488,0.998400627,0.356886888
3.9,0.377,342.039,17.89,0.261002709,1.439713662,1.074538452,0.677561062
3.9,0.377,342.039,17.89,0.462893258,1.4367283,1.332732926,0.685904289
3.9,0.377,342.039,17.89,2.414443318,1.446528459,3.429033081,0.559414899
3.9,0.377,342.039,17.89,6.955358539,1.50984967,9.723301685,0.494487942
3.9,0.377,342.039,17.89,-0.272719931,1.45290089,0.426800226,0.595585705
3.9,0.377,342.039,17.89,0.04809577,1.490162171,0.624298164,0.453778115
3.9,0.377,342.039,17.89,0.997868161,1.477563104,1.87993346,0.511197523
3.9,0.377,342.039,17.89,1.333364395,1.46968774,2.396114578,0.612022258
3.9,0.377,342.039,17.89,2.118605495,1.478195332,3.673971738,0.52949389
3.9,0.377,342.039,17.89,0.008509333,1.614634607,0.680579936,0.382346494
3.9,0.377,342.039,17.89,1.541551088,1.556064046,2.765087101,0.485152864
3.9,0.377,342.039,17.89,1.126186084,1.480921806,2.208504533,0.601667071
3.9,0.377,342.039,17.89,2.897107145,1.433802767,4.095196379,0.562934378
3.9,0.377,342.039,17.89,0.11203357,1.473548284,0.706964393,0.450157134
3.9,0.377,342.039,17.89,0.002717421,1.503459835,0.518869002,0.458690757
3.9,0.377,342.039,17.89,6.856222445,1.505788395,9.703917096,0.530026242
3.9,0.377,342.039,17.89,0.620811848,1.493582113,1.319163063,0.466657496
3.9,0.377,342.039,17.89,0.108646549,1.475503133,0.690666635,0.474454522
3.9,0.377,342.039,17.89,0.227045995,1.624272599,0.931678742,0.348362464
3.9,0.377,342.039,17.89,1.129808546,1.486584697,2.143497712,0.588985793
3.9,0.377,342.039,17.89,2.408256947,1.484035966,4.078940693,0.536269816
3.9,0.377,342.039,17.89,-0.19683037,1.619365611,0.389100347,0.410497509
3.9,0.377,342.039,17.89,-0.189122844,1.440079771,0.517493753,0.600852058
3.9,0.377,342.039,17.89,1.288665629,1.552809537,2.449337228,0.490502479
3.9,0.377,342.039,17.89,-0.160632871,1.454355131,0.547556307,0.630833117
3.9,0.377,342.039,17.89,0.19343795,1.621530361,0.906403464,0.37265121
3.9,0.377,342.039,17.89,0.881327419,1.483133272,1.885396783,0.593298729
3.9,0.377,342.039,17.89,-0.063005222,1.48601931,0.503829303,0.463671091
3.9,0.377,342.039,17.89,-0.594533239,1.47979928,-0.165762444,0.484955226
3.9,0.377,342.039,17.89,-0.084816125,1.442195043,0.629510709,0.623390337
3.9,0.377,342.039,17.89,2.694345915,1.408926685,3.863107242,0.579651437
3.9,0.377,342.039,17.89,1.925661892,1.552356851,3.249767637,0.489128941
3.9,0.377,342.039,17.89,1.356060239,1.5095052,2.491989497,0.455193067
3.9,0.377,342.039,17.89,0.513309649,1.477454818,1.287693456,0.505472365
3.9,0.377,342.039,17.89,-0.140241206,1.445290679,0.563097558,0.652163332
3.9,0.377,342.039,17.89,0.703555302,1.463266573,1.52253399,0.521927054
3.9,0.377,342.039,17.89,0.270756214,1.468937273,0.932878578,0.470261633
3.9,0.377,342.039,17.89,3.112660616,1.419055396,4.365987217,0.581235207
3.9,0.377,342.039,17.89,1.757048152,1.494511585,3.19181468,0.522596642
3.9,0.377,342.039,17.89,2.114635599,1.547961279,3.480818156,0.490983496
3.9,0.377,342.039,17.89,6.972570014,1.501172897,9.876001446,0.528619399
3.9,0.377,342.039,17.89,0.318397591,1.462146135,1.044939244,0.49426609
3.9,0.377,342.039,17.89,3.297621933,1.414589538,4.639109288,0.564702091
3.9,0.377,342.039,17.89,0.176209155,1.638633666,0.922168083,0.361148782
3.9,0.377,342.039,17.89,0.413563943,1.469866358,1.190834864,0.51738193
3.9,0.377,342.039,17.89,0.44191786,1.623919678,1.223309872,0.373225644
3.9,0.377,342.039,17.89,0.073584992,1.449011818,0.848808613,0.626715202
3.9,0.377,342.039,17.89,2.705876545,1.423458452,3.890466991,0.565864091
3.9,0.377,342.039,17.89,2.413784829,1.448297677,3.425040864,0.561282962
3.9,0.377,342.039,17.89,0.105871921,1.61880911,0.824894228,0.418759873
3.9,0.377,342.039,17.89,-0.308819365,1.453694871,0.362254343,0.527786411
3.9,0.377,342.039,17.89,-0.058659251,1.449648541,0.611853197,0.664829362
3.9,0.377,342.039,17.89,0.376835482,1.616620733,1.13614995,0.384028633
3.9,0.377,342.039,17.89,0.382115548,1.618864215,1.144298352,0.38712424
3.9,0.377,342.039,17.89,3.406378844,1.428985155,4.70423013,0.577026956
3.9,0.377,342.039,17.89,0.090810454,1.438575258,0.840861884,0.653438892
3.9,0.377,342.039,17.89,2.263452703,1.486852447,3.866566128,0.538544771
3.9,0.377,342.039,17.89,1.110778928,1.505334935,2.233004171,0.472798743
3.9,0.377,342.039,17.89,9.86592001,1.482689276,13.00482779,0.502814992
3.9,0.377,342.039,17.89,0.311151569,1.626499443,1.09238312,0.411271304
3.9,0.377,342.039,17.89,0.333313409,1.450637313,1.173210667,0.649186233
3.9,0.377,342.039,17.89,2.416878615,1.441693063,3.418701314,0.568038915
3.9,0.377,342.039,17.89,0.036258336,1.448499647,0.821344073,0.542937291
3.9,0.377,342.039,17.89,1.273240277,1.568964076,2.444583678,0.470347068
3.9,0.377,342.039,17.89,-0.39912307,1.480817195,0.030376248,0.46795189
3.9,0.377,342.039,17.89,4.998725408,1.425484946,6.413330144,0.566686777
3.9,0.377,342.039,17.89,-0.406199127,1.44960623,0.244054071,0.599902594
3.9,0.377,342.039,17.89,1.774364811,1.506698952,3.254387838,0.510018939
3.9,0.377,342.039,17.89,2.684879596,1.429701187,3.904902487,0.554015487
3.9,0.377,342.039,17.89,0.35680503,1.453507319,1.213186393,0.634256837
3.9,0.377,342.039,17.89,0.03324123,1.43867003,0.791508534,0.645340843
3.9,0.377,342.039,17.89,-0.198794937,1.639069461,0.380427237,0.314791586
3.9,0.377,342.039,17.89,0.156677923,1.448112268,0.944850809,0.654075947
3.9,0.377,342.039,17.89,1.324025879,1.470099333,2.432747014,0.602388974
3.9,0.377,342.039,17.89,-0.003777501,1.628291455,0.6431573,0.340212929
3.9,0.377,342.039,17.89,1.003197012,1.543165207,2.10871071,0.503688869
3.9,0.377,342.039,17.89,-0.13538931,1.497778407,0.395729827,0.474636296
3.9,0.377,342.039,17.89,1.447906849,1.507040278,2.623166355,0.462335649
3.9,0.377,342.039,17.89,6.895465492,1.502275838,9.715203801,0.511647873
3.9,0.377,342.039,17.89,1.598304659,1.479531383,2.973460581,0.555315641
3.9,0.377,342.039,17.89,-0.424574947,1.439711891,0.170566422,0.676184483
3.9,0.377,342.039,17.89,0.991715668,1.481640013,2.040505464,0.596330893
3.9,0.377,342.039,17.89,0.184488897,1.468949604,0.799315825,0.465586054
3.9,0.377,342.039,17.89,0.778757365,1.480014282,1.614608274,0.504575438
3.9,0.377,342.039,17.89,0.400671926,1.469681197,1.175137144,0.527973818
3.9,0.377,342.039,17.89,0.439281152,1.614734165,1.167090093,0.346053521
3.9,0.377,342.039,17.89,0.783981004,1.613306482,1.573372033,0.397108688
3.9,0.377,342.039,17.89,0.005587331,1.620362113,0.708721816,0.379962334
3.9,0.377,342.039,17.89,0.007736938,1.49469063,0.527485592,0.459413977
3.9,0.377,342.039,17.89,0.030889487,1.475627146,0.609036193,0.477303655
3.9,0.377,342.039,17.89,0.336201637,1.430976211,1.080547889,0.678658853
3.9,0.377,342.039,17.89,0.28312583,1.489389786,0.877636557,0.466255995
3.9,0.377,342.039,17.89,2.695968537,1.442701075,3.878075499,0.604907674
3.9,0.377,342.039,17.89,-0.055056475,1.463914185,0.700165233,0.580566389
3.9,0.377,342.039,17.89,0.524344547,1.620865075,1.315212072,0.373234833
3.9,0.377,342.039,17.89,0.115643167,1.430137053,0.850997659,0.69061596
3.9,0.377,342.039,17.89,0.047167996,1.631511933,0.727455673,0.33974815
3.9,0.377,342.039,17.89,0.295193391,1.620702828,1.053971361,0.378888976
3.9,0.377,342.039,17.89,0.217134544,1.455391212,1.040155348,0.604278529
3.9,0.377,342.039,17.89,-0.014677372,1.621333106,0.623838246,0.346752235
3.9,0.377,342.039,17.89,0.321473019,1.4457846,1.126452991,0.647702493
3.9,0.377,342.039,17.89,-0.325851711,1.476288767,0.137364296,0.495141966
3.9,0.377,342.039,17.89,0.349217682,1.63581311,1.11392308,0.366688661
3.9,0.377,342.039,17.89,-0.003122308,1.492341498,0.537180149,0.472133385
3.9,0.377,342.039,17.89,-0.274364935,1.436701952,0.410023017,0.55580667
3.9,0.377,342.039,17.89,0.830211386,1.476084271,1.796294039,0.593911254
3.9,0.377,342.039,17.89,-0.227830078,1.498698432,0.25719333,0.426802173
3.9,0.377,342.039,17.89,0.181858432,1.452808363,1.015244779,0.590146881
3.9,0.377,342.039,17.89,5.122727262,1.427749689,6.634684978,0.573865943
3.9,0.377,342.039,17.89,-0.234417064,1.439121648,0.447924834,0.549994709
3.9,0.377,342.039,17.89,5.212748849,1.427367083,6.8163757,0.564782082
3.9,0.377,342.039,17.89,-0.038031362,1.433798373,0.505394285,0.489644751
3.9,0.377,342.039,17.89,2.06162144,1.482973698,3.596840284,0.537288982
3.9,0.377,342.039,17.89,0.623713346,1.477562653,1.349151227,0.46211362
3.9,0.377,342.039,17.89,0.494372748,1.619656288,1.229734546,0.391010144
3.9,0.377,342.039,17.89,1.42936947,1.482689075,2.539309587,0.587659809
3.9,0.377,342.039,17.89,7.084047624,1.510576726,9.938804493,0.510164148
3.9,0.377,342.039,17.89,0.682783433,1.620734266,1.531300188,0.412656931
3.9,0.377,342.039,17.89,0.340681021,1.435330279,1.207858254,0.558898637
3.9,0.377,342.039,17.89,-0.038458997,1.450385401,0.722077468,0.603001009
3.9,0.377,342.039,17.89,-0.176387421,1.467348375,0.391339153,0.480908831
3.9,0.377,342.039,17.89,2.686820665,1.439468938,3.812185118,0.574664779
3.9,0.377,342.039,17.89,0.296536052,1.612399211,1.055083747,0.379290955
3.9,0.377,342.039,17.89,0.128083692,1.623537062,0.841730843,0.382150853
3.9,0.377,342.039,17.89,-0.223030656,1.635218796,0.417438416,0.372052342
3.9,0.377,342.039,17.89,0.334546141,1.451762985,1.098544149,0.648164722
3.9,0.377,342.039,17.89,0.372665127,1.448066541,1.154708863,0.660482917
3.9,0.377,342.039,17.89,0.445764362,1.437856092,1.273756784,0.647838876
3.9,0.377,342.039,17.89,0.097338227,1.447692295,0.783902076,0.658599067
3.9,0.377,342.039,17.89,2.868361007,1.43091615,4.084700772,0.556351012
3.9,0.377,342.039,17.89,0.159395135,1.449048499,0.807392657,0.466208968
3.9,0.377,342.039,17.89,-0.091708362,1.452821907,0.57029662,0.669323433
3.9,0.377,342.039,17.89,0.014072884,1.506973849,0.556992231,0.440391989
3.9,0.377,342.039,17.89,-0.011920821,1.488711232,0.559298823,0.434102602
3.9,0.377,342.039,17.89,-0.157228131,1.441753165,0.510541992,0.674765439
3.9,0.377,342.039,17.89,2.423178892,1.434555146,3.548399649,0.556222971
3.9,0.377,342.039,17.89,0.191537166,1.627309903,0.925860966,0.370436011
3.9,0.377,342.039,17.89,0.081556571,1.435236467,0.839536855,0.679850426
3.9,0.377,342.039,17.89,5.409800728,1.443666042,6.956992398,0.530932386
3.9,0.377,342.039,17.89,2.016182641,1.492680999,3.534554519,0.518404852
3.9,0.377,342.039,17.89,-0.108066444,1.623595547,0.482438257,0.337512248
3.9,0.377,342.039,17.89,6.905794088,1.507442947,9.66645429,0.50411862
3.9,0.377,342.039,17.89,0.954456353,1.481673084,1.970553252,0.592666269
3.9,0.377,342.039,17.89,0.075436127,1.449913867,0.882082745,0.608939319
3.9,0.377,342.039,17.89,2.392777247,1.420889676,3.499682362,0.571974694
3.9,0.377,342.039,17.89,0.397613422,1.630380506,1.135313646,0.415543459
3.9,0.377,342.039,17.89,1.572283141,1.514537012,2.776708431,0.477817006
3.9,0.377,342.039,17.89,2.420104363,1.441732602,3.498867205,0.595088713
3.9,0.377,342.039,17.89,0.097596465,1.465194069,0.802687384,0.531792115
3.9,0.377,342.039,17.89,-0.016988151,1.475511878,0.577415669,0.467977642
3.9,0.377,342.039,17.89,4.679820676,1.449263423,6.178738456,0.551108411
3.9,0.377,342.039,17.89,-0.141417384,1.451493887,0.530352143,0.661951622
3.9,0.377,342.039,17.89,2.927622234,1.430049806,4.166117634,0.549081253
3.9,0.377,342.039,17.89,-0.094361664,1.456108863,0.650930156,0.661979921
3.9,0.377,342.039,17.89,2.521402512,1.431808758,3.629777186,0.600666744
3.9,0.377,342.039,17.89,2.162408559,1.493302494,3.710667097,0.527275361
3.9,0.377,342.039,17.89,-0.240747877,1.497849057,0.216807325,0.459527736
3.9,0.377,342.039,17.89,-0.334355242,1.440933788,0.303694193,0.671798001
3.9,0.377,342.039,17.89,3.086551276,1.424383324,4.373501386,0.561680578
3.9,0.377,342.039,17.89,-0.124101163,1.439685376,0.531231255,0.671250047
3.9,0.377,342.039,17.89,0.328655618,1.62239619,1.068692924,0.401052692
3.9,0.377,342.039,17.89,2.619520497,1.434535869,3.804296243,0.548344107
